RA_deg,Dec_deg,Gaia_magnitude
101.288541,-16.713143,-1.56
95.987878,-52.695718,-0.74
213.918114,19.18727,-0.17
219.92041,-60.835147,-0.13
279.234108,38.782993,-0.09
79.172065,45.999029,-0.04
78.634464,-8.201639,0.06
114.827242,5.227508,0.28
24.428132,-57.23666,0.33
88.792872,7.407036,0.33
210.956019,-60.372978,0.49
297.694509,8.867385,0.64
186.649756,-63.099056,0.65
68.980002,16.509762,0.75
201.298352,-11.161245,0.86
247.351948,-26.431946,0.94
116.330683,28.02631,1.04
344.411773,-29.621837,1.05
191.930495,-59.688732,1.13
310.357973,45.280334,1.13
219.914128,-60.839471,1.23
152.093581,11.967195,1.24
104.656445,-28.972089,1.38
113.650019,31.888636,1.46
187.791372,-57.112569,1.47
263.402194,-37.103748,1.5
81.282784,6.349735,1.52
81.572908,28.607873,1.53
138.301003,-69.717472,1.55
84.053386,-1.201917,1.57
332.057818,-46.960616,1.61
85.189687,-1.942578,1.62
122.383147,-47.336612,1.63
193.506804,55.959843,1.64
51.080619,49.861243,1.67
276.04311,-34.384315,1.67
165.932654,61.751119,1.69
107.097859,-26.393208,1.71
206.885609,49.313303,1.73
125.628603,-59.509538,1.74
264.329691,-42.997822,1.74
89.882373,44.947435,1.78
252.166107,-69.027635,1.79
131.175822,-54.708568,1.81
99.427926,16.399415,1.81
306.411873,-56.734881,1.82
37.946147,89.264138,1.85
95.674948,-17.955917,1.86
141.896883,-8.658683,1.87
31.792858,23.462777,1.89
154.992341,19.84186,1.89
10.896785,-17.986684,1.92
283.81632,-26.296594,1.93
211.672186,-36.368696,1.94
17.43249,35.62083,1.95
340.666395,-46.884566,1.95
2.096533,29.090828,1.95
86.939116,-9.669602,1.95
222.676648,74.155476,1.95
263.733353,12.560576,1.96
47.042207,40.955651,1.97
30.974663,42.329848,1.98
177.26616,14.572337,2.02
14.177088,60.71675,2.03
190.380021,-48.959886,2.08
139.272618,-59.275261,2.09
120.896126,-40.003188,2.09
233.671623,26.71491,2.1
136.999071,-43.432624,2.11
305.557083,40.256681,2.11
200.980916,54.925415,2.11
10.126613,56.537409,2.12
269.151574,51.488951,2.12
83.001666,-0.299093,2.13
2.29204,59.150218,2.16
204.97197,-53.466363,2.17
252.542687,-34.29261,2.17
240.083382,-22.62162,2.17
220.482391,-47.388141,2.18
218.876882,-42.157746,2.21
165.459961,56.382345,2.22
221.246879,27.074174,2.23
326.046418,9.875008,2.26
265.621999,-39.029921,2.27
6.570281,-42.305122,2.28
178.457255,53.694733,2.29
257.594427,-15.725148,2.31
345.943056,28.082455,2.32
111.023771,-29.30312,2.33
319.64409,62.585455,2.33
140.528455,-55.010695,2.35
311.551801,33.969453,2.36
346.19007,15.205368,2.37
45.569913,4.089925,2.42
249.289708,-10.567152,2.42
208.885145,-47.288266,2.43
241.359312,-19.805393,2.44
168.526717,20.524034,2.44
183.951949,-17.541984,2.46
83.182558,-17.822292,2.46
182.089765,-50.72241,2.46
285.653014,-29.880114,2.48
229.251966,-9.382867,2.49
236.066649,6.42552,2.51
28.659788,20.808299,2.52
188.596809,-23.396623,2.53
89.930159,37.212764,2.53
84.91225,-34.074049,2.53
21.452513,60.235403,2.54
208.671317,18.398587,2.56
224.633142,-43.133867,2.56
189.296182,-69.135534,2.57
161.692175,-49.420125,2.57
74.248401,33.166135,2.57
262.690995,-37.29574,2.58
109.285684,-37.097487,2.59
296.564876,10.613269,2.6
275.248423,-29.828039,2.6
243.586526,-3.693976,2.61
245.997945,61.514075,2.61
190.416676,-1.449522,2.62
160.739278,-64.394479,2.62
222.719905,-16.04161,2.63
200.150273,-36.712081,2.63
83.858255,-5.9099,2.63
265.868237,4.566917,2.64
258.661927,14.390253,2.66
76.962641,-5.086263,2.66
247.555257,21.489649,2.66
183.786487,-58.748902,2.67
233.785252,-41.166695,2.68
82.06136,-20.759232,2.69
250.322821,31.601887,2.69
6.413342,-77.255035,2.7
276.99279,-25.421247,2.7
248.970664,-28.215962,2.7
121.886259,-24.304437,2.71
3.308958,15.183616,2.71
238.7867,-63.42975,2.71
58.532994,31.883658,2.72
261.324988,-55.529824,2.72
262.960507,-49.875982,2.72
195.544836,10.959102,2.73
56.871101,24.105242,2.73
326.759522,-16.126566,2.73
296.243509,45.130692,2.74
229.72787,-68.679467,2.75
334.625743,-60.259495,2.75
95.739963,22.51385,2.75
44.565482,-40.304735,2.76
287.440974,-21.023525,2.76
111.787801,8.289409,2.77
239.713003,-26.114043,2.77
194.007671,38.318246,2.77
322.88967,-5.571156,2.78
245.297177,-25.592753,2.78
59.463421,40.010273,2.78
46.199126,53.50645,2.79
340.750536,30.221309,2.81
102.483903,-50.6144,2.82
187.466597,-16.515094,2.82
331.445939,-0.319827,2.83
59.507209,-13.508245,2.85
146.462927,23.774278,2.85
84.411184,21.142593,2.85
271.452186,-30.42365,2.86
199.730222,-23.171412,2.87
286.352552,13.86371,2.87
266.896171,-40.126982,2.87
328.481892,-37.364823,2.88
32.385504,34.987392,2.88
252.967662,-38.047327,2.88
167.416081,44.498553,2.88
55.731175,47.787653,2.89
95.07828,-30.063377,2.9
105.75614,-23.833301,2.9
182.531358,-22.619792,2.9
75.492225,43.823314,2.91
218.019824,38.307883,2.92
191.57029,-68.108094,2.92
292.680355,27.959695,2.93
305.252693,-14.781401,2.93
155.582514,41.499434,2.94
100.983041,25.131155,2.94
274.407205,-36.761281,2.98
162.405967,-16.194132,2.99
133.848687,5.945528,2.99
173.945534,-63.019825,2.99
309.391624,-47.291662,2.99
87.739803,-35.769292,3
258.758017,24.839587,3
134.803495,48.04235,3
254.655128,-55.990055,3
224.790413,-42.104142,3.01
140.264412,34.392526,3.02
142.805641,-57.034392,3.04
258.761893,36.809155,3.04
143.218022,51.678602,3.05
257.196771,65.714637,3.05
99.440299,-43.195924,3.05
281.413971,-26.990779,3.05
220.627854,-64.97457,3.06
76.628621,41.234641,3.06
254.417794,9.375056,3.07
267.46438,-37.043371,3.07
76.365217,-22.370857,3.07
72.458909,6.961247,3.07
354.837425,77.631967,3.09
318.23409,30.227081,3.09
230.343068,-40.647459,3.1
322.164896,70.560695,3.11
244.58017,-4.692608,3.11
